City_ID,City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
184,184,Igarka,RU,67.4667,86.5833,49.68,76,100,6.58,overcast clouds
185,185,Anchorage,US,61.2181,-149.9003,48.38,91,75,1.99,broken clouds
186,186,Miraflores,MX,19.2167,-98.8083,59.65,72,96,1.34,overcast clouds
187,187,La Paz,BO,-16.5,-68.15,60.78,38,75,5.75,broken clouds
188,188,Upernavik,GL,72.7868,-56.1549,34.25,67,100,13.33,light rain
189,189,Ribeira Grande,PT,38.5167,-28.7,72.0,88,75,3.44,broken clouds
190,190,Bilma,NE,18.6853,12.9164,103.55,18,42,3.06,scattered clouds
191,191,Cabo San Lucas,MX,22.8909,-109.9124,85.51,81,20,9.22,few clouds
192,192,Abu Samrah,SY,35.3029,37.1841,87.55,34,0,17.0,clear sky
193,193,Batagay-Alyta,RU,67.8006,130.4114,30.87,71,13,2.75,few clouds
194,194,Kaeo,NZ,-35.1,173.7833,51.33,88,82,9.91,broken clouds
195,195,Tecolutla,MX,20.4833,-97.0167,84.06,75,100,5.41,overcast clouds
196,196,Huarmey,PE,-10.0681,-78.1522,65.46,78,71,8.57,broken clouds
197,197,Sept-Iles,CA,50.2001,-66.3821,62.06,83,57,4.0,broken clouds
198,198,Kudahuvadhoo,MV,2.6708,72.8944,83.16,65,95,4.16,overcast clouds
199,199,Hambantota,LK,6.1241,81.1185,80.74,79,25,18.34,scattered clouds
200,200,Champerico,GT,14.3,-91.9167,88.75,77,98,2.51,overcast clouds
201,201,Hami,CN,42.8,93.45,82.62,12,0,6.44,clear sky
202,202,Sorland,NO,67.667,12.6934,50.07,73,100,21.72,overcast clouds
203,203,Moundou,TD,8.5667,16.0833,85.3,68,91,3.85,overcast clouds
204,204,Yuanping,CN,38.7153,112.7575,63.37,46,0,1.16,clear sky
205,205,Hasaki,JP,35.7333,140.8333,68.4,78,99,13.67,overcast clouds
206,206,Tabas,IR,33.5959,56.9244,92.12,11,0,13.6,clear sky
207,207,Akyab,MM,20.15,92.9,80.85,85,97,6.33,overcast clouds
208,208,Kargopol,RU,61.5071,38.9456,53.22,96,100,8.75,moderate rain
209,209,Dharchula,IN,29.85,80.5333,71.76,91,50,2.93,scattered clouds
210,210,Jaguarao,BR,-32.5661,-53.3758,59.94,95,100,15.35,overcast clouds
211,211,Longyearbyen,SJ,78.2186,15.6401,39.04,70,75,11.5,broken clouds
212,212,Kunda,IN,25.7167,81.5167,82.87,75,62,6.33,broken clouds
213,213,Bonavista,CA,48.6499,-53.1147,61.9,73,11,12.75,few clouds
