City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
187,Alta Floresta,BR,2021-09-05 21:18:09,-9.8756,-56.0861,92.71,26,70,3.56
188,Faanui,PF,2021-09-05 21:18:09,-16.4833,-151.75,78.66,75,18,16.08
189,Maniitsoq,GL,2021-09-05 21:18:10,65.4167,-52.9,43.74,71,2,8.43
190,Tiksi,RU,2021-09-05 21:18:10,71.6872,128.8694,51.3,82,100,27.65
191,Coihaique,CL,2021-09-05 21:18:10,-45.5752,-72.0662,52.41,74,80,3.91
192,Fortuna,US,2021-09-05 21:18:11,40.5982,-124.1573,95.18,75,1,14.97
193,Lompoc,US,2021-09-05 21:18:12,34.6391,-120.4579,98.74,62,1,19.57
194,Sheltozero,RU,2021-09-05 21:18:12,61.3667,35.3667,42.75,69,46,10.09
195,Eqbaliyeh,IR,2021-09-05 21:18:13,35.3022,51.5358,84.02,13,0,11.07
196,Ambilobe,MG,2021-09-05 21:18:14,-13.2,49.05,65.55,75,17,4.45
197,Beringovskiy,RU,2021-09-05 21:18:14,63.05,179.3167,42.78,76,100,8.79
198,Matara,LK,2021-09-05 21:18:14,5.9485,80.5353,77.16,90,100,13.44
199,Indramayu,ID,2021-09-05 21:18:15,-6.3264,108.32,79.16,71,99,6.96
200,Pevek,RU,2021-09-05 21:18:16,69.7008,170.3133,31.95,78,100,17.6
201,Orumiyeh,IR,2021-09-05 21:18:16,37.5527,45.0761,54.95,50,0,6.91
202,Hamilton,US,2021-09-05 21:18:17,39.1834,-84.5333,81.61,57,40,1.01
203,Pacifica,US,2021-09-05 21:18:17,37.6138,-122.4869,98.55,64,1,3.0
204,Padang,ID,2021-09-05 21:18:17,-0.9492,100.3543,77.77,86,99,4.03
205,Chuy,UY,2021-09-05 21:18:18,-33.6971,-53.4616,57.18,89,84,6.69
206,Wanning,CN,2021-09-05 21:18:18,18.8003,110.3967,79.75,86,61,0.27
207,Kuytun,RU,2021-09-05 21:18:19,54.3419,101.5036,38.97,69,100,1.59
208,Russell,US,2021-09-05 21:18:19,32.3502,-85.1999,88.0,63,40,0.0
209,Cabo San Lucas,MX,2021-09-05 21:18:20,22.8909,-109.9124,89.06,58,20,9.22
210,Nouadhibou,MR,2021-09-05 21:18:20,20.931,-17.0347,73.38,88,7,12.66
211,Ugoofaaru,MV,2021-09-05 21:18:20,5.6667,73.0,82.26,76,100,15.28
212,Vao,NC,2021-09-05 21:18:21,-22.6667,167.4833,69.87,77,11,13.6
213,Qui Nhon,VN,2021-09-05 21:18:13,13.7667,109.2333,77.4,90,100,4.94
214,Novikovo,RU,2021-09-05 21:18:21,51.1537,37.8879,44.6,66,9,5.59
215,Honggang,CN,2021-09-05 21:18:22,46.4667,124.8667,61.77,77,99,8.5
216,Shellbrook,CA,2021-09-05 21:18:22,53.2168,-106.4011,70.83,38,100,12.33
217,Ostersund,SE,2021-09-05 21:18:23,63.1792,14.6357,45.05,81,0,4.61
218,Christchurch,NZ,2021-09-05 21:16:54,-43.5333,172.6333,57.47,73,82,1.99
219,Dali,CN,2021-09-05 21:18:23,25.7,100.1833,60.96,93,99,2.42
220,Codrington,AU,2021-09-05 21:18:24,-38.2667,141.9667,47.41,75,21,8.77
221,Korla,CN,2021-09-05 21:18:24,41.7597,86.1469,72.39,31,0,3.13
222,Cockburn Town,TC,2021-09-05 21:17:21,21.4612,-71.1419,83.19,76,9,13.58
223,Manokwari,ID,2021-09-05 21:18:25,-0.8667,134.0833,77.5,76,100,4.05
224,Burnie,AU,2021-09-05 21:18:25,-41.0667,145.9167,46.38,66,10,12.01
225,Mount Gambier,AU,2021-09-05 21:18:26,-37.8333,140.7667,42.15,92,27,3.38
226,Alabaster,US,2021-09-05 21:18:26,33.2443,-86.8164,89.24,60,1,1.01
227,Saldanha,ZA,2021-09-05 21:18:26,-33.0117,17.9442,55.49,49,95,11.56
228,Kavieng,PG,2021-09-05 21:18:27,-2.5744,150.7967,81.34,78,63,8.68
229,Krasnoselkup,RU,2021-09-05 21:18:27,65.7,82.4667,52.09,64,100,16.75
230,Zyryanka,RU,2021-09-05 21:18:28,65.75,150.85,37.65,50,77,10.71
231,Pula,HR,2021-09-05 21:18:28,44.8683,13.8481,76.06,52,0,9.22
232,Koumac,NC,2021-09-05 21:18:28,-20.5667,164.2833,70.59,69,0,4.5
233,Mogadishu,SO,2021-09-05 21:18:29,2.0371,45.3438,77.31,83,10,18.23
234,Weiden,DE,2021-09-05 21:18:29,49.6775,12.1567,65.19,86,90,0.0
235,Muleba,TZ,2021-09-05 21:18:29,-1.8397,31.6544,71.49,63,22,2.53
236,Khasan,RU,2021-09-05 21:18:30,42.4308,130.6434,60.48,88,0,3.47
237,Narsaq,GL,2021-09-05 21:18:30,60.9167,-46.05,52.02,52,5,3.51
238,Sunbury,AU,2021-09-05 21:18:31,-37.5833,144.7333,48.83,87,75,3.0
239,Marzuq,YE,2021-09-05 21:18:31,14.4,46.4667,81.64,50,76,5.06
240,Kabarnet,KE,2021-09-05 21:18:32,0.4919,35.743,56.25,88,41,2.53
241,Kapaa,US,2021-09-05 21:18:32,22.0752,-159.319,84.52,65,20,8.01
242,Lavrentiya,RU,2021-09-05 21:18:33,65.5833,-171.0,39.29,60,29,1.41
243,Mitu,CO,2021-09-05 21:18:33,1.1983,-70.1733,84.43,68,64,2.01
244,Pangkalanbuun,ID,2021-09-05 21:18:33,-2.6833,111.6167,74.14,98,100,2.28
245,Hoa Binh,VN,2021-09-05 21:15:31,20.8133,105.3383,78.69,96,25,1.79
246,Chifeng,CN,2021-09-05 21:18:34,42.2683,118.9636,59.32,94,100,10.94
247,Berlevag,NO,2021-09-05 21:18:34,70.8578,29.0864,42.8,81,75,2.3
248,Asyut,EG,2021-09-05 21:18:35,27.181,31.1837,84.07,30,0,14.94
249,Guanica,PR,2021-09-05 21:18:35,17.9716,-66.908,89.26,68,10,4.0
250,Vostok,RU,2021-09-05 21:18:36,46.4856,135.8833,50.2,79,61,2.3
251,Gat,IL,2021-09-05 21:18:36,31.61,34.7642,78.82,67,0,4.21
252,Tuatapere,NZ,2021-09-05 21:18:36,-46.1333,167.6833,57.81,66,100,11.01
